Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
2012,1,1,5.1,-4,0.6,17.4,0,1.4,0,1.4,15
2012,1,2,2.9,-13,-5.1,23.1,0,0,0,0,10
2012,1,3,-13,-22.5,-17.8,35.8,0,0,0,0,9
2012,1,4,-7.9,-24.4,-16.2,34.2,0,0,3.6,1.2,9
2012,1,5,-4.7,-12.2,-8.5,26.5,0,,,2.8,13
2012,1,6,-9.3,-11.7,-10.5,28.5,0,0,3.6,1.8,16
2012,1,7,1.6,-9.6,-4,22,0,0.4,0.8,2.4,16
2012,1,8,-6.7,-11.1,-8.9,26.9,0,0,0.6,0.4,17
2012,1,9,3.1,-10.8,-3.9,21.9,0,0,1,0.2,17
2012,1,10,2,-10.2,-4.1,22.1,0,0,1,0.6,15
2012,1,11,-10,-12.9,-11.5,29.5,0,0,0,0,15
2012,1,12,-3.8,-11.9,-7.9,25.9,0,2.2,4.2,10.2,15
2012,1,13,-1.2,-14.2,-7.7,25.7,0,1.4,11,13.6,17
2012,1,14,-14.2,-22.8,-18.5,36.5,0,0,0,0,27
2012,1,15,-14.7,-24,-19.4,37.4,0,0,0,0,27
2012,1,16,-9.8,-24.8,-17.3,35.3,0,0,0,0,27
2012,1,17,2.7,-10.3,-3.8,21.8,0,7.2,2.8,10.6,27
2012,1,18,-5.4,-19.1,-12.3,30.3,0,0,0,0,25
2012,1,19,-4.7,-20.9,-12.8,30.8,0,0,1,0.6,25
2012,1,20,-7.3,-20.1,-13.7,31.7,0,0,0,0,26
2012,1,21,-9.1,-18.9,-14,32,0,0,0,0,26
2012,1,22,-8.8,-20.3,-14.6,32.6,0,0,0,0,26
2012,1,23,5.7,-10.9,-2.6,20.6,0,4.4,0,4.4,26
2012,1,24,5.2,-1.5,1.9,16.1,0,0,0,0,20
2012,1,25,-1.5,-8.6,-5.1,23.1,0,0,0,0,18
2012,1,26,-4.2,-13.8,-9,27,0,0,2,2.2,18
2012,1,27,0.2,-6.8,-3.3,21.3,0,9,3,12,19
2012,1,28,1.4,-5.3,-2,20,0,0,2,1.8,20
2012,1,29,-0.5,-7.9,-4.2,22.2,0,0,0.2,0,22
2012,1,30,-5.6,-12.6,-9.1,27.1,0,0,0.2,0.2,22
2012,1,31,-6.3,-9,-7.7,25.7,0,0,7.2,5,22
2012,2,1,2,-6.6,-2.3,20.3,0,0.6,0,0.6,26
2012,2,2,-3.9,-13.2,-8.6,26.6,0,0,0,0,25
2012,2,3,-1.8,-16.3,-9.1,27.1,0,0,0.4,0.2,25
2012,2,4,-3.5,-15.6,-9.6,27.6,0,0,0,0,25
2012,2,5,-0.3,-18.2,-9.3,27.3,0,0,0,0,25
2012,2,6,5.1,-1.6,1.8,16.2,0,0,0,0,24
2012,2,7,0.7,-15.5,-7.4,25.4,0,0,0,0,21
2012,2,8,-1.5,-17.5,-9.5,27.5,0,0,0,0,20
2012,2,9,3.2,-9.3,-3.1,21.1,0,0,0,0,20
2012,2,10,1.2,-12.6,-5.7,23.7,0,0,0,0,18
2012,2,11,-10.3,-16.2,-13.3,31.3,0,0,0.6,0.2,18
2012,2,12,-9.5,-17.6,-13.6,31.6,0,0,0,0,18
2012,2,13,-0.5,-10.5,-5.5,23.5,0,0,0,0,18
2012,2,14,3,-7.4,-2.2,20.2,0,0,0.2,0,18
2012,2,15,2.5,-1,0.8,17.2,0,0,2.4,0.6,19
2012,2,16,3.9,0.3,2.1,15.9,0,2,0.2,2.2,17
2012,2,17,3.6,-1.2,1.2,16.8,0,0,0,0,13
2012,2,18,1,-5.1,-2.1,20.1,0,0,0,0,10
2012,2,19,-2.7,-9.5,-6.1,24.1,0,0,0,0,9
2012,2,20,1.1,-13.4,-6.2,24.2,0,0,0,0,9
2012,2,21,1.7,-8.5,-3.4,21.4,0,0,0.4,0.2,8
2012,2,22,5.4,-0.1,2.7,15.3,0,0.2,0,0.2,6
2012,2,23,3.3,-2.8,0.3,17.7,0,0,0.2,0.2,5
